Id,ActivityDate,TotalDistance,Calories
4319703577,5/5/2016,9.48999977111816,2530
4319703577,5/6/2016,6.42000007629395,2266
4319703577,5/7/2016,5.32999992370605,2158
4319703577,5/8/2016,2.46000003814697,1792
4319703577,5/9/2016,6.96000003814697,2345
4319703577,5/10/2016,6.36999988555908,2260
4319703577,5/11/2016,6.13000011444092,2232
4319703577,5/12/2016,0.00999999977648258,257
4388161847,4/12/2016,7.78000020980835,2955
4388161847,4/13/2016,8.44999980926514,3092
4388161847,4/14/2016,6.82000017166138,2998
4388161847,4/15/2016,6.73000001907349,3066
4388161847,4/16/2016,5.05999994277954,3073
4388161847,4/17/2016,3.57999992370605,2572
4388161847,4/18/2016,9.10000038146973,3274
4388161847,4/19/2016,7.82999992370605,3015
4388161847,4/20/2016,8.11999988555908,3083
4388161847,4/21/2016,7.73000001907349,3069
4388161847,4/22/2016,9.34000015258789,3544
4388161847,4/23/2016,10.1800003051758,3306
4388161847,4/24/2016,7.88000011444092,2885
4388161847,4/25/2016,9.97000026702881,3288
4388161847,4/26/2016,7.28000020980835,2929
4388161847,4/27/2016,8.60999965667725,3074
4388161847,4/28/2016,7.75,2969
4388161847,4/29/2016,7.09999990463257,2979
4388161847,4/30/2016,9.64000034332275,3283
4388161847,5/1/2016,7.8899998664856,2926
4388161847,5/2/2016,8.39999961853027,3147
4388161847,5/3/2016,9.78999996185303,3290
4388161847,5/4/2016,9.52000045776367,3162
4388161847,5/5/2016,7.38000011444092,2899
4388161847,5/6/2016,10.1300001144409,3425
4388161847,5/7/2016,17.5400009155273,4022
4388161847,5/8/2016,14.3800001144409,3934
4388161847,5/9/2016,7.8600001335144,3013
4388161847,5/10/2016,7.92000007629395,3061
4388161847,5/11/2016,7.84000015258789,2954
4388161847,5/12/2016,2.58999991416931,1623
4445114986,4/12/2016,2.20000004768372,2113
4445114986,4/13/2016,1.99000000953674,2095
4445114986,4/14/2016,2.67000007629395,2194
4445114986,4/15/2016,4.82999992370605,2496
4445114986,4/16/2016,2.65000009536743,2180
4445114986,4/17/2016,1.51999998092651,1933
4445114986,4/18/2016,4.23999977111816,2248
4445114986,4/19/2016,1.38999998569489,1954
4445114986,4/20/2016,1.38999998569489,1974
4445114986,4/21/2016,2.55999994277954,2150
4445114986,4/22/2016,4.57999992370605,2432
4445114986,4/23/2016,2.9300000667572,2149
4445114986,4/24/2016,3.35999989509583,2247
4445114986,4/25/2016,2.26999998092651,2070
4445114986,4/26/2016,4.40999984741211,2291
4445114986,4/27/2016,5.03000020980835,2361
4445114986,4/28/2016,3.00999999046326,2203
4445114986,4/29/2016,3.14000010490417,2196
4445114986,4/30/2016,4.17999982833862,2363
4445114986,5/1/2016,3.50999999046326,2246
4445114986,5/2/2016,4.75,2336
4445114986,5/3/2016,5.17999982833862,2421
4445114986,5/4/2016,1.96000003814697,2070
4445114986,5/5/2016,2.54999995231628,2120
4445114986,5/6/2016,3.02999997138977,2211
4445114986,5/7/2016,3.58999991416931,2123
4445114986,5/8/2016,4.90000009536743,2423
4445114986,5/9/2016,3.53999996185303,2281
4445114986,5/10/2016,2.63000011444092,2181
4445114986,5/11/2016,6.1100001335144,2499
4445114986,5/12/2016,0.519999980926514,1212
